,type,sampler,initer,imputer,Potassium,Sodium,Creatinine,Chloride,Urea Nitrogen,Bicarbonate,Anion Gap,Glucose,Magnesium,"Calcium, Total",Phosphate
1,mean,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 2}, 'KNNInit')","({'n_iterations': 0}, 'FeaturePropagation')",2.7091509033777914,32.38931153983437,0.3282494165926951,9.145455403886151,0.32170873760661917,1.3933612759621439,0.6564218715716279,0.6824565956368118,2.5766955046856497,4.951477211318054,0.5490624646580298
2,std,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 2}, 'KNNInit')","({'n_iterations': 0}, 'FeaturePropagation')",0.3017522416166564,7.90956095229532,0.2269716041733372,2.4127674536884305,0.11853406063749578,0.1952517503333469,0.1464598147793202,0.09926189868551172,0.27583587791278,0.8459617512494646,0.11059086011706208
3,mean,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 2}, 'KNNInit')","({'n_iterations': 1}, 'FeaturePropagation')",2.646985666394803,38.974545053206455,0.38139540823409407,9.893252698047224,0.15136775361912447,1.3022766001870782,0.7545533163605774,0.47200705680389676,3.1473114542872707,5.7662928608063035,0.797770843794946
4,std,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 2}, 'KNNInit')","({'n_iterations': 1}, 'FeaturePropagation')",0.378925293007716,9.385302253746925,0.3118411262021863,3.1810224078086566,0.08070198544196804,0.432722270305929,0.1071368180883403,0.05398133986928716,0.26195806505936275,0.6647542879648217,0.22183541377454682
5,mean,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 2}, 'KNNInit')","({'n_iterations': 2}, 'FeaturePropagation')",2.7976499471975123,31.038321438847312,0.3592690719047356,12.782582401945557,0.18745485231320755,1.2408590841103968,0.712907284723664,0.6231929583601831,2.9674338161361904,5.693450768935517,0.6833824179496772
6,std,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 2}, 'KNNInit')","({'n_iterations': 2}, 'FeaturePropagation')",0.44724766422782847,5.8449022986427,0.24725868567116982,2.0055156807385277,0.10927335739185183,0.18555118309682422,0.24698938799341041,0.23467650957885128,0.6966911351214302,0.4731706899409477,0.16092009439666688
7,mean,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 2}, 'KNNInit')","({'n_iterations': 4}, 'FeaturePropagation')",2.7231243306903403,40.49345687439634,0.4079072041643131,9.768272748013452,0.32124920954678127,1.186938929356003,0.6981809003532926,0.5337553135729167,2.3179041767577684,4.8235481906341855,0.5878725035690969
8,std,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 2}, 'KNNInit')","({'n_iterations': 4}, 'FeaturePropagation')",0.5025688998804859,8.865926473602915,0.15509137201002843,3.264991853337537,0.15279335509086564,0.5550874801966914,0.14027258759665084,0.21278551775704688,0.46693356443988476,1.379414349304647,0.3153186372378997
9,mean,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 2}, 'KNNInit')","({'n_iterations': 8}, 'FeaturePropagation')",2.956287788793676,41.22114852657327,0.3855282848173648,11.306999285744359,0.21340812681348081,1.3971015162590086,0.8485449558504028,0.553196335829056,2.4058260579905317,5.346738074175604,0.5767354644481679
10,std,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 2}, 'KNNInit')","({'n_iterations': 8}, 'FeaturePropagation')",0.8580498811154743,8.910615781625548,0.1076029002106512,1.422447618208844,0.12017731116205829,0.17854947372106203,0.1866779228538456,0.20568856502313915,0.5753946796690579,1.200104951565675,0.2028285556015785
11,mean,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 4}, 'KNNInit')","({'n_iterations': 0}, 'FeaturePropagation')",2.6882580805727345,40.49264931327457,0.3125430382604899,10.80696515124556,0.18111639186364809,1.343045693310105,0.7648742847574407,0.7054861981900886,2.649426752364783,5.897309327296374,0.5630314200841458
12,std,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 4}, 'KNNInit')","({'n_iterations': 0}, 'FeaturePropagation')",0.42770980623897903,4.406680767915771,0.1512715399320837,1.34255055902461,0.1228475283720113,0.5250007580419773,0.11860470571218755,0.3233542963278055,0.7062959156463342,1.3237771021060603,0.19953385312281885
13,mean,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 4}, 'KNNInit')","({'n_iterations': 1}, 'FeaturePropagation')",2.69133546350634,39.265931790490114,0.3413306461112099,10.759498813297133,0.2578935262804367,1.3862563997988473,0.8474242709810687,0.44944652094076193,2.544473870857408,5.927027652268525,0.7235795564285834
14,std,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 4}, 'KNNInit')","({'n_iterations': 1}, 'FeaturePropagation')",0.5171900734945053,9.531738677533658,0.26644985032025315,1.4583635210275527,0.09657443613601407,0.22859533126377823,0.3004744319988089,0.2094838818083992,0.724684844671909,1.0942440849756436,0.22805342179954002
15,mean,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 4}, 'KNNInit')","({'n_iterations': 2}, 'FeaturePropagation')",2.5465726255492926,39.89187082866109,0.369424237835336,10.324331406404411,0.2111848907804807,1.3732411640257975,0.8370768969718234,0.46047569648618464,2.793052196288007,5.94564255382771,0.38848652134627215
16,std,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 4}, 'KNNInit')","({'n_iterations': 2}, 'FeaturePropagation')",0.5583022157247945,5.336296070011952,0.2669393397913702,2.2865820104312102,0.07836390962503773,0.446470214110364,0.07400233999122487,0.15501446360985466,0.6659751358077349,0.8898657665469317,0.07907972984821318
17,mean,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 4}, 'KNNInit')","({'n_iterations': 4}, 'FeaturePropagation')",2.840820618681419,40.413076627243655,0.39323282887119265,10.739734483887286,0.25678147181035016,1.640538534221808,0.617043314546025,0.4922246933830164,2.5656534244246396,5.744444863472819,0.6719060955688247
18,std,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 4}, 'KNNInit')","({'n_iterations': 4}, 'FeaturePropagation')",0.8064998671786765,8.943165942299519,0.1603744945344245,1.7262173838860582,0.09153666851655522,0.4761379117075448,0.08655138137734815,0.1239878330820852,0.44336871690664237,1.750155860765978,0.08426276371168412
19,mean,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 4}, 'KNNInit')","({'n_iterations': 8}, 'FeaturePropagation')",3.025357023322337,38.27008806569992,0.46913306785699554,10.081464454440374,0.27181683047330535,1.3742676048727156,0.6827763823273116,0.5770155741817293,2.5888511416484534,6.423143643312274,0.5646289041970354
20,std,"({'droprate': 0.1, 'data_cols': ['allinref', 'age', 'charttime', 'time_cluster', 'Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate', 'race_BLACK', 'race_HISPANIC', 'race_UNKNOWN', 'race_WHITE', 'gender_F', 'gender_M'], 'target_cols': ['Potassium', 'Sodium', 'Creatinine', 'Chloride', 'Urea Nitrogen', 'Bicarbonate', 'Anion Gap', 'Glucose', 'Magnesium', 'Calcium, Total', 'Phosphate']}, 'UniformMissing')","({'n_neighbors': 4}, 'KNNInit')","({'n_iterations': 8}, 'FeaturePropagation')",0.39628810290107086,5.204233272796757,0.17987608629501278,2.0239678568593145,0.17573413367327964,0.16650881659603614,0.12160896113992957,0.13146424670019205,0.5964060178200496,0.7086794334559813,0.1678223559640197
